Network name,Tree name,Country code,Source group,Source,ST,ST,CC,CC_CC
438654_Human_5_5,438654_Human_5_5,FRA,Human,Human,5,ST5,5,CC5
438655_Human_398_398,438655_Human_398_398,FRA,Human,Human,398,ST398,398,CC398
438656_Human_8_8,438656_Human_8_8,FRA,Human,Human,8,ST8,8,CC8
438657_Human_NA_8,438657_Human_NA_8,FRA,Human,Human,na,STna,8,CC8
438658_Human_22_22,438658_Human_22_22,FRA,Human,Human,22,ST22,22,CC22
438661_Human_NA_NA,438661_Human_2867_NA,FRA,Human,Human,2867,ST2867,na,CCna
4386610_Human_NA_30,4386610_Human_30_30,FRA,Human,Human,30,ST30,30,CC30
4386611_Human_8_8,4386611_Human_8_8,FRA,Human,Human,8,ST8,8,CC8
4386612_Human_9_9,4386612_Human_9_9,DEU,Human,Human,9,ST9,9,CC9
438662_Human_30_30,438662_Human_30_30,FRA,Human,Human,30,ST30,30,CC30
438663_Human_22_22,438663_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
438664_Human_22_22,438664_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
438665_Human_8_8,438665_Human_8_8,FRA,Human,Human,8,ST8,8,CC8
438666_Human_8_8,438666_Human_8_8,FRA,Human,Human,8,ST8,8,CC8
438667_Human_8_8,438667_Human_8_8,FRA,Human,Human,8,ST8,8,CC8
438668_Human_NA_8888,438668_Human_2869_8888,FRA,Human,Human,2869,ST2869,8888,CC8888
438669_Human_239_8,438669_Human_239_8,FRA,Human,Human,239,ST239,8,CC8
438671_Human_22_22,438671_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
4386710_Human_22_22,4386710_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
4386711_Human_22_22,4386711_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
4386712_Human_22_22,4386712_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
438672_Human_22_22,438672_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
438673_Human_225_5,438673_Human_225_5,DEU,Human,Human,225,ST225,5,CC5
